"title_year","currency","movie_title"
"1996","USA","thefan"
"2004","USA","thephantomoftheopera"
"2007","USA","elizabeththegoldenage"
"2005","USA","xc3x86onflux"
"2003","USA","godsandgenerals"
"1997","USA","turbulence"
"2009","USA","imaginethat"
"2014","USA","muppetsmostwanted"
"2004","USA","thunderbirds"
"2010","USA","burlesque"
"2004","USA","averylongengagement"
"1962","USA","lolita"
"2002","USA","eyeseeyou"
"2002","USA","bladeii"
"2008","USA","sevenpounds"
"2012","USA","bullettothehead"
"1990","USA","thegodfatherpartiii"
"2005","USA","elizabethtown"
"2006","USA","youmeanddupree"
"1980","USA","supermanii"
"2003","USA","gigli"
"2006","USA","allthekingsmen"
"2000","USA","shaft"
"1997","USA","anastasia"
"2001","USA","moulinrouge!"
"2001","USA","domesticdisturbance"
"2015","USA","blackmass"
"2006","USA","flagsofourfathers"
"2009","USA","lawabidingcitizen"
"2007","USA","grindhouse"
"1998","USA","beloved"
"2007","USA","luckyyou"
"2002","USA","catchmeifyoucan"
"2012","USA","zerodarkthirty"
"2006","USA","thebreakup"
"2008","USA","mammamia!"
"2010","USA","valentinesday"
"2005","USA","thedukesofhazzard"
"1998","USA","thethinredline"
